product_title,original_url,raw_sku,proposed_id,category,page_path,image_count,valid_images,missing_images,image_completeness,has_title,has_description,has_dimensions,has_price,has_category,has_thumbnail,linked_from_home,selection_reason,keep_drop
related items,https://newel.com/product/italian-venetian-polychromed-figures-3,037318A,product-037318a,sculpture.html,newel.com/product/italian-venetian-polychromed-figures-3.html,144,139,3,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/Pair-of-Chinese-Tang-Dynasty-Style-Tessellated-Bone-Veneer-Monumental-Horse-Statues,062899,product-062899,sculpture.html,newel.com/product/Pair-of-Chinese-Tang-Dynasty-Style-Tessellated-Bone-Veneer-Monumental-Horse-Statues.html,144,139,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by G. Van Der Mersch,https://newel.com/product/art-nouveau-wooden-dancing-figures,040451B,product-040451b,sculpture.html,newel.com/product/art-nouveau-wooden-dancing-figures.html,133,128,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/set-of-4-american-rustic-old-hickory-and-willow-bar-stools,062853,product-062853,funiture,newel.com/product/set-of-4-american-rustic-old-hickory-and-willow-bar-stools.html,132,127,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/contemporary-american-patinated-bronze-abstract-sculpture-on-marble-base-in-the-style-of-brancusi,REG5344,product-reg5344,sculpture.html,newel.com/product/contemporary-american-patinated-bronze-abstract-sculpture-on-marble-base-in-the-style-of-brancusi.html,126,121,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/continental-laplander-painted-figures,057077A,product-057077a,sculpture.html,newel.com/product/continental-laplander-painted-figures.html,114,109,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/monumental-carousel-rooster-figure,040899,product-040899,sculpture.html,newel.com/product/monumental-carousel-rooster-figure.html,108,104,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/italian-venetian-polychromed-figures-10,040606,product-040606,sculpture.html,newel.com/product/italian-venetian-polychromed-figures-10.html,102,97,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/Chinese-Carved-Whitewashed-Wooden-Ram-Statue,NWL2459,product-nwl2459,sculpture.html,newel.com/product/Chinese-Carved-Whitewashed-Wooden-Ram-Statue.html,90,86,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/pair-of-cleo-baldon-for-terra-of-california-mid-century-american-x-frame-avocado-green-barstools,DUF0830,product-duf0830,funiture,newel.com/product/pair-of-cleo-baldon-for-terra-of-california-mid-century-american-x-frame-avocado-green-barstools.html,90,86,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Designs for Leisure,https://newel.com/product/pair-of-designs-for-leisure-mid-century-american-fluted-column-floral-upholstered-swivel-bar-stools,DUF0873,product-duf0873,funiture,newel.com/product/pair-of-designs-for-leisure-mid-century-american-fluted-column-floral-upholstered-swivel-bar-stools.html,93,86,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/064026,064026,product-064026,sculpture.html,newel.com/product/064026.html,90,85,3,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/english-regency-mahogany--circular-bench,REG4876,product-reg4876,furniture.html,newel.com/product/english-regency-mahogany--circular-bench.html,90,85,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/italian-monumental-silvered-bronze-equestrian-figure,REG5311,product-reg5311,sculpture.html,newel.com/product/italian-monumental-silvered-bronze-equestrian-figure.html,90,85,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/monumental-figures-of-a-duke-duchess-1,031072A,product-031072a,sculpture.html,newel.com/product/monumental-figures-of-a-duke-duchess-1.html,90,85,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/REG5109,REG5109,product-reg5109,sculpture.html,newel.com/product/REG5109.html,90,85,0,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/renaissance-walnut-devil-figures,044095,product-044095,sculpture.html,newel.com/product/renaissance-walnut-devil-figures.html,90,85,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/the-pillar-bronze-brutalist-contemporary-figural-sculpture-by-newel-modern,MOD2089,product-mod2089,sculpture.html,newel.com/product/the-pillar-bronze-brutalist-contemporary-figural-sculpture-by-newel-modern.html,90,85,0,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/argentinian-modern-abstract-stone-sculpture-1960s,REG4475,product-reg4475,sculpture.html,newel.com/product/argentinian-modern-abstract-stone-sculpture-1960s.html,84,80,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Dillingham Furniture Co.,https://newel.com/product/pair-of-dillingham-mid-century-american-horseshoe-cantilevered-burnt-orange-counter-stools,DUF0829,product-duf0829,funiture,newel.com/product/pair-of-dillingham-mid-century-american-horseshoe-cantilevered-burnt-orange-counter-stools.html,84,80,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/italian-neo-classic-giltwood-stripe-upholstered-dining-side-chair,REG5183,product-reg5183,furniture.html,newel.com/product/italian-neo-classic-giltwood-stripe-upholstered-dining-side-chair.html,83,79,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/mid-century-american-modern-brass-unicorn-sculpture-on-square-base,REG4600,product-reg4600,sculpture.html,newel.com/product/mid-century-american-modern-brass-unicorn-sculpture-on-square-base.html,84,79,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/monumental-bronze-egyptian-figures,056981,product-056981,sculpture.html,newel.com/product/monumental-bronze-egyptian-figures.html,84,79,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Karl Springer,https://newel.com/product/mid-century-american-embossed-beige-faux-reptile-leather-upholstered-quilted-desk-side-chair,REG5081,product-reg5081,furniture.html,newel.com/product/mid-century-american-embossed-beige-faux-reptile-leather-upholstered-quilted-desk-side-chair.html,89,78,8,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/mid-century-american-upholstered-seat-armchair,REG4095A,product-reg4095a,furniture.html,newel.com/product/mid-century-american-upholstered-seat-armchair.html,84,78,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/french-louis-xvi-coat-of-arm-embossed-side-chair-,REG5401,product-reg5401,furniture.html,newel.com/product/french-louis-xvi-coat-of-arm-embossed-side-chair-.html,84,75,7,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Warren Bacon,https://newel.com/product/pair-of-warren-bacon-mid-century-american-brass-and-wood-horseshoe-cantilever-barstools,DUF0877,product-duf0877,funiture,newel.com/product/pair-of-warren-bacon-mid-century-american-brass-and-wood-horseshoe-cantilever-barstools.html,81,75,0,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Milo Baughman,https://newel.com/product/set-of-10-milo-baughman-american-mid-century-polished-steel-and-purple-upholstered-side-chairs,REG5022,product-reg5022,furniture.html,newel.com/product/set-of-10-milo-baughman-american-mid-century-polished-steel-and-purple-upholstered-side-chairs.html,83,75,3,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-contemporary-blue-and-black-mixed-media-orb,REG9104,product-reg9104,sculpture.html,newel.com/product/american-contemporary-blue-and-black-mixed-media-orb.html,78,74,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-contemporary-steel-mesh-stacking-chairs,064337,product-064337,furniture.html,newel.com/product/american-contemporary-steel-mesh-stacking-chairs.html,78,74,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-mission-leather-and-wood-barstools,064283,product-064283,funiture,newel.com/product/american-mission-leather-and-wood-barstools.html,78,74,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/art-deco-style-american-cast-metal-and-marble-sculpture-of-three-marching-elephants,GRS6293,product-grs6293,sculpture.html,newel.com/product/art-deco-style-american-cast-metal-and-marble-sculpture-of-three-marching-elephants.html,78,74,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/english-victorian-black-tufted-chesterfield-sofa,064333,product-064333,furniture.html,newel.com/product/english-victorian-black-tufted-chesterfield-sofa.html,78,74,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/french-empire-style-arched-cheval-mirror,063585,product-063585,mirrors.html,newel.com/product/french-empire-style-arched-cheval-mirror.html,78,74,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/outdoor-iron-greek-woman-statuary,036075B,product-036075b,sculpture.html,newel.com/product/outdoor-iron-greek-woman-statuary.html,78,74,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Louis Majorelle,https://newel.com/product/set-of-8-louis-majorelle-french-art-nouveau-carved-walnut-and-sage-green-muslin-side-chairs,NWL6953,product-nwl6953,furniture.html,newel.com/product/set-of-8-louis-majorelle-french-art-nouveau-carved-walnut-and-sage-green-muslin-side-chairs.html,84,74,3,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/chinese-carved-and-lacquered-warrior-figures,035467,product-035467,sculpture.html,newel.com/product/chinese-carved-and-lacquered-warrior-figures.html,78,73,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Maison Dominique,https://newel.com/product/dominique-et-cie-french-art-deco-mahogany-beige-and-gold-patterned-upholstered-dining-side-chairs,REG4308,product-reg4308,furniture.html,newel.com/product/dominique-et-cie-french-art-deco-mahogany-beige-and-gold-patterned-upholstered-dining-side-chairs.html,80,73,3,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/italian-renaissance-iron-page-figures,035467C,product-035467c,sculpture.html,newel.com/product/italian-renaissance-iron-page-figures.html,78,73,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/REG5565,REG5565,product-reg5565,sculpture.html,newel.com/product/REG5565.html,78,73,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/set-of-3-italian-renaissance-musical-figures-1,032270,product-032270,sculpture.html,newel.com/product/set-of-3-italian-renaissance-musical-figures-1.html,78,73,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/native-american-northwest-totem-pole,042411A,product-042411a,sculpture.html,newel.com/product/native-american-northwest-totem-pole.html,78,70,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Luther Conover,https://newel.com/product/pair-of-luther-conover-mid-century-american-horseshoe-metal-and-wood-counter-stools,DUF0836,product-duf0836,funiture,newel.com/product/pair-of-luther-conover-mid-century-american-horseshoe-metal-and-wood-counter-stools.html,73,69,0,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-contemporary-mustard-yellow-velvet-chairs,064347,product-064347,furniture.html,newel.com/product/american-contemporary-mustard-yellow-velvet-chairs.html,72,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-mid-century-modern-wood-slice-sculpture,REG9113,product-reg9113,sculpture.html,newel.com/product/american-mid-century-modern-wood-slice-sculpture.html,72,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-mid-century-slatted-wooden-bar-stools,064280,product-064280,funiture,newel.com/product/american-mid-century-slatted-wooden-bar-stools.html,72,68,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/art-deco-french-shagreen-and-rosewood-cheval-mirror,REG4814,product-reg4814,mirrors.html,newel.com/product/art-deco-french-shagreen-and-rosewood-cheval-mirror.html,72,68,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Kar,https://newel.com/product/chinese-contemporary-samurai-sword-chair,NWL8740,product-nwl8740,furniture.html,newel.com/product/chinese-contemporary-samurai-sword-chair.html,76,68,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/cleo-baldon-for-terra-of-california-mid-century-american-x-frame-beige-barstool-,DUF0834,product-duf0834,funiture,newel.com/product/cleo-baldon-for-terra-of-california-mid-century-american-x-frame-beige-barstool-.html,72,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Kar,https://newel.com/product/contemporary-beige-amorphous-fiberglass-side-chair,NWL8702,product-nwl8702,furniture.html,newel.com/product/contemporary-beige-amorphous-fiberglass-side-chair.html,76,68,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/continental-mid-century-biomorphic-sculpture,REG5602,product-reg5602,sculpture.html,newel.com/product/continental-mid-century-biomorphic-sculpture.html,72,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Franco Lafini,https://newel.com/product/franco-lafini-italian-mid-century-silver-plate-and-crystal-crane,DUA0040,product-dua0040,sculpture.html,newel.com/product/franco-lafini-italian-mid-century-silver-plate-and-crystal-crane.html,73,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/matched-pair-of-art-deco-terracotta-sculpture-or-statues-by-demetre-chiparus,REG4281,product-reg4281,sculpture.html,newel.com/product/matched-pair-of-art-deco-terracotta-sculpture-or-statues-by-demetre-chiparus.html,72,68,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/nuno-walnut-dining-chair-with-cord-seat-1,MOD2048,product-mod2048,furniture.html,newel.com/product/nuno-walnut-dining-chair-with-cord-seat-1.html,72,68,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Vladimir Kagan,https://newel.com/product/pair-of-vladimir-kagan-contemporary-american-nobu-or-cubist-walnut-upholstered-dining-chairs,REG5043,product-reg5043,furniture.html,newel.com/product/pair-of-vladimir-kagan-contemporary-american-nobu-or-cubist-walnut-upholstered-dining-chairs.html,77,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/set-drop-back-bentwood-chairs-10,064336,product-064336,furniture.html,newel.com/product/set-drop-back-bentwood-chairs-10.html,72,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/set-scroll-back-bentwood-chairs-5,064335,product-064335,furniture.html,newel.com/product/set-scroll-back-bentwood-chairs-5.html,72,68,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-mid-century-brown-leather-lounge-chairs-pair,064345,product-064345,furniture.html,newel.com/product/american-mid-century-brown-leather-lounge-chairs-pair.html,72,67,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/english-victorian-chesterfield-style-brown-tufted-lounge-chairs,064346,product-064346,furniture.html,newel.com/product/english-victorian-chesterfield-style-brown-tufted-lounge-chairs.html,72,67,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/pair-of-mid-century-american-polished-chrome-brass-and-black-leather-barstools,DUF0869,product-duf0869,funiture,newel.com/product/pair-of-mid-century-american-polished-chrome-brass-and-black-leather-barstools.html,72,67,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/pair-of-mid-century-american-triangular-blue-vinyl-upholstered-wood-bar-stools,DUF0898,product-duf0898,funiture,newel.com/product/pair-of-mid-century-american-triangular-blue-vinyl-upholstered-wood-bar-stools.html,72,67,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/renaissance-polychromed-kneeling-figures,034018,product-034018,sculpture.html,newel.com/product/renaissance-polychromed-kneeling-figures.html,72,67,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
"more works by Dunbar,Edward Wormley",https://newel.com/product/set-of-5-american-mid-century-ed-wormley-ebonized-with-striped-upholstery-armchair--,REG4008A,product-reg4008a,furniture.html,newel.com/product/set-of-5-american-mid-century-ed-wormley-ebonized-with-striped-upholstery-armchair--.html,74,67,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-mid-century-paul-frankl-dining-chairs,REG5073,product-reg5073,furniture.html,newel.com/product/american-mid-century-paul-frankl-dining-chairs.html,72,64,7,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/english-victorian-style-tufted-camelback-sofa,064340,product-064340,furniture.html,newel.com/product/english-victorian-style-tufted-camelback-sofa.html,72,64,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/19th-century-indonesian-painted-wood-mile-marker-carving,NWL6761,product-nwl6761,sculpture.html,newel.com/product/19th-century-indonesian-painted-wood-mile-marker-carving.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-contemporary-brown-ceramic-sphere,REG9127,product-reg9127,sculpture.html,newel.com/product/american-contemporary-brown-ceramic-sphere.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/art-deco-wrought-iron-cheval-mirror-1,060579,product-060579,mirrors.html,newel.com/product/art-deco-wrought-iron-cheval-mirror-1.html,66,62,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Michael Thonet,https://newel.com/product/bentwood-thonet-cheval-mirror-1,038062A,product-038062a,mirrors.html,newel.com/product/bentwood-thonet-cheval-mirror-1.html,67,62,0,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/chrome-and-leather-barstools,064133,product-064133,furniture.html,newel.com/product/chrome-and-leather-barstools.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/contemporary-mid-century-style-walnut-and-textured-charcoal-gray-upholstered-side-chairs,MOD2032,product-mod2032,furniture.html,newel.com/product/contemporary-mid-century-style-walnut-and-textured-charcoal-gray-upholstered-side-chairs.html,65,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/corda-bench-footstool-natural-1,MOD2038,product-mod2038,furniture.html,newel.com/product/corda-bench-footstool-natural-1.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/corda-long-bench-natural,MOD2039A,product-mod2039a,furniture.html,newel.com/product/corda-long-bench-natural.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/egyptian-figure-on-base,064097A,product-064097a,sculpture.html,newel.com/product/egyptian-figure-on-base.html,65,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/empire-style-cheval-mirror-with-zoomorphic-details,062377,product-062377,mirrors.html,newel.com/product/empire-style-cheval-mirror-with-zoomorphic-details.html,66,62,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/french-mid-century-paulistano-cognac-leather-lounge-chairs,064351,product-064351,furniture.html,newel.com/product/french-mid-century-paulistano-cognac-leather-lounge-chairs.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/MOD2108A,MOD2108A,product-mod2108a,furniture.html,newel.com/product/MOD2108A.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Steven Sebring,https://newel.com/product/Steven-Sebring-American-Contemporary-Red-Chair,NWL7075,product-nwl7075,furniture.html,newel.com/product/Steven-Sebring-American-Contemporary-Red-Chair.html,71,62,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/toco-counter-stool-walnut-by-newel-modern-1,MOD2058,product-mod2058,funiture,newel.com/product/toco-counter-stool-walnut-by-newel-modern-1.html,66,62,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/032030,032030,product-032030,sculpture.html,newel.com/product/032030.html,66,61,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-conetemporary-sabored-leg-black-slipper-chair-,REG5399,product-reg5399,furniture.html,newel.com/product/american-conetemporary-sabored-leg-black-slipper-chair-.html,66,61,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/arno-dining-side-chairs-by-newel-modern-1,MOD2035,product-mod2035,furniture.html,newel.com/product/arno-dining-side-chairs-by-newel-modern-1.html,66,61,3,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Thonet,https://newel.com/product/bentwood-thonet-oak-cheval-mirror,038062B,product-038062b,mirrors.html,newel.com/product/bentwood-thonet-oak-cheval-mirror.html,71,61,3,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/black-leather-steel-lounge-chairs,064344,product-064344,furniture.html,newel.com/product/black-leather-steel-lounge-chairs.html,66,61,6,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/grecian-bronze-military-woman-figure,042137B,product-042137b,sculpture.html,newel.com/product/grecian-bronze-military-woman-figure.html,66,61,5,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Warren Bacon,https://newel.com/product/pair-of-warren-bacon-mid-century-american-chrome-and-wood-cantilever-bar-stools,DUF0880,product-duf0880,funiture,newel.com/product/pair-of-warren-bacon-mid-century-american-chrome-and-wood-cantilever-bar-stools.html,70,61,2,complete,true,true,true,true,true,true,false,complete-local-images,keep
more works by Jules Leleu,https://newel.com/product/set-of-6-jules-leleu-french-art-deco-amboyna-gold-geometric-fabric-upholstered-dining-armchairs,REG5013,product-reg5013,furniture.html,newel.com/product/set-of-6-jules-leleu-french-art-deco-amboyna-gold-geometric-fabric-upholstered-dining-armchairs.html,72,61,4,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/swedish-neo-classic-monumental-cream-painted-and-parcel-gilt-wall-mirror,REG4004,product-reg4004,mirrors.html,newel.com/product/swedish-neo-classic-monumental-cream-painted-and-parcel-gilt-wall-mirror.html,66,61,6,complete,true,true,true,true,true,true,false,complete-local-images,keep
related items,https://newel.com/product/american-contemporary-black-leather-side-chair-,REG5398,product-reg5398,furniture.html,newel.com/product/american-contemporary-black-leather-side-chair-.html,60,56,1,complete,true,true,true,true,true,true,false,complete-local-images,keep
